Function,m,t,y
fun P-01,8600,36.0379686281085,13.43884347207433
fun P-02,9900,41.91278113401495,28537.053912231866
fun P-03,100,2.6442291770363227,-0.0
fun P-04,8600,34.90390955703333,78.641
fun P-05,9000,40.84309650596697,-504.9408352607926
fun P-07,9900,36.600898102042265,329467697978.0
fun P-08,8600,33.56145397189539,310564.0
fun P-09,9900,38.22690833394881,4775.767355180151
fun P-10,9700,36.27476136095356,4166145.9061848014
 
Facility Location,m,t,y
fun P-01,4700,24.652650787029415,13.700384647848416
fun P-02,1900,10.752561897970736,30941.09181249063
fun P-03,100,2.815772478003055,-0.0
fun P-04,4700,22.86665894393809,84.41175 
fun P-05,500,4.596998112043366, -274.95732235874306
fun P-07,2600,15.3498247199459,329825504752.0
fun P-08,4700,23.404924461967312,333647.0
fun P-09,9600,45.17022305296268,4857.660739962694
fun P-10,8300,39.297471778001636,4166415.4390900554


Log Daterminant,m,t,y
fun P-01,100,3.9997685640119016,13.786596897863815
fun P-02,8000,37.69957494200207,30837.07849947163 
fun P-03,100,2.805014649988152,-0.0
fun P-04,100,2.71570351801347,86.4135 
fun P-05,4700,24.214845873997547, -305.025643725517
fun P-07,7000,34.15484075900167,329726163519.0
fun P-08,100,2.9416314660338685,341654.0
fun P-09,1000,6.766811156063341,4850.762134804637 
fun P-10,100,2.670182521920651,4167751.043889211   
     